itching ,Испытываете ли вы зуд?
unsteadiness ,Есть ли у вас шаткость?
weakness_of_one_body_side ,Испытываете ли вы слабость конкретно в одной стороне тела?
loss_of_smell ,Проявляется ли у вас потеря обоняния?
bladder_discomfort ,Испытываете ли вы дискомфорт мочевого пузыря?
foul_smell_of_urine ,Наблюдается ли у вашей мочи неприятный запах?
continuous_feel_of_urine ,Испытываете ли вы недержание?
passage_of_gases ,Есть ли у вас недержание газов?
internal_itching ,Испытываете ли вы внутренний зуд?
toxic_look_(typhos) ,Чувствуете ли вы переизбыток таксинов в организме?
depression ,Есть ли у вас депрессия?
irritability ,Есть ли у вас раздражительность?
muscle_pain ,Испытываете ли вы боль в мышцах?
altered_sensorium ,Испытываете ли вы изменения в восприятии?
red_spots_over_body ,У вас проявляются красные пятна на теле?
belly_pain ,Испытываете ли вы боль в животе?
abnormal_menstruation ,Испытываете ли вы проблемы с менструацией?
dischromic__patches ,Есть ли у вас разноцветные пятна на коже?
watering_from_eyes ,Есть ли у вас выделения из глаз?
increased_appetite ,Испытываете ли вы повышенный аппетит?
polyuria ,Наблюдается ли у вас повышенное образование мочи?
family_history ,В вашей семье есть люди  которые испытывали/испытывают похожие симптомы? 
mucoid_sputum ,У вас вязкая мокрота?
rusty_sputum ,У вас рыжая мокрота?
lack_of_concentration ,Испытываете ли вы притупление концентрации?
visual_disturbances ,Наблюдаются ли у вас нарушения зрения?
receiving_blood_transfusion ,Вам переливали кровь?
receiving_unsterile_injections ,Вам проводили нестерильные инъекций?
coma ,Лежали ли вы в коме?
stomach_bleeding ,Испытываете ли вы острые или ноющие боли в желудке?
distention_of_abdomen ,Есть ли у вас вздутие живота?
history_of_alcohol_consumption ,Вы регулярно употребляете алкоголь?
fluid_overload.1 ,Испытываете ли вы перегрузку жидкостью?
blood_in_sputum ,Есть ли у вас кровь в мокроте?
prominent_veins_on_calf ,У вас тёмные вены на голени?
palpitations ,У вас учащенное сердцебиение?
painful_walking ,Испытываете ли вы боль при ходьбе?
pus_filled_pimples ,Есть ли у вас гнойные прыщи?
blackheads ,Есть ли у вас угри?
scurring ,Много ли вы активно двигаетесь?
skin_peeling ,Делали ли вам пилинг кожи?
silver_like_dusting ,У вас наблюдаются серые выделения?
small_dents_in_nails ,У вас есть повреждения на ногтях?
inflammatory_nails ,Испытываете ли вы воспаление ногтей?
blister ,Есть ли у вас мозоли?
red_sore_around_nose ,Наблюдается ли у вас краснота вокруг носа?
yellow_crust_ooze ,Есть ли у вас желтые слизистые выделения?
