Infection,Инфекция,Лечение1,Лечение2,Лечение3,Препарат1,Препарат2,Препарат3,Анализ1,Анализ2,Анализ3,Врач
Hepatitis B,Гепатит B,"Специфического лечения гепатита В нет. Выздоровление от симптомов, вызванных инфекцией, может происходить медленно и занимать несколько недель или месяцев. Терапия направлена на поддержание комфорта и надлежащего сочетания питательных веществ, включая возмещение теряемой в результате рвоты и диареи жидкости.",,,тенофовир,энтекавир,интерферон,Анализ крови,Анализ мочи,Анализ крови из вены,Терапевт
Hepatitis C,Гепатит С,"Лечение этого заболевания заключается в уничтожении вируса, терапия антивирусными препаратами последнего поколения дает почти стопроцентный эффект при любом генотипе и любой вирусной нагрузке, даже при циррозе.",,,Софосбувир,Деклатасвир,,Анализ крови,Анализ мочи,Анализ крови из вены,Терапевт
Hepatitis D,Гепатит D,"Лечение этого заболевания заключается в уничтожении вируса, терапия антивирусными препаратами последнего поколения дает почти стопроцентный эффект при любом генотипе и любой вирусной нагрузке, даже при циррозе.",,,Мирклюдекс,,,Анализ крови,Анализ мочи,Анализ крови из вены,Терапевт
Hepatitis E,Гепатит Е,"Лечение этого заболевания заключается в уничтожении вируса, терапия антивирусными препаратами последнего поколения дает почти стопроцентный эффект при любом генотипе и любой вирусной нагрузке, даже при циррозе.",,,,,,Анализ крови,Анализ мочи,Анализ крови из вены,Терапевт
Alcoholic hepatitis,Алкогольный гепатит,"Выбор лечебной тактики лечения АГ зависит, прежде всего, от степени тяжести заболевания. Поэтому перед началом терапии необходимо провести оценку тяжести и прогноза гепатита. Обратитесь к врачу для консультации.",,,,,,Анализ крови,Анализ мочи,Анализ крови из вены,Терапевт
Tuberculosis,Туберкулез,"Туберкулез является болезнью, которая лечится с помощью лекарств. Чтобы убить все туберкулезные бактерии, необходимо принимать более чем одно лекарство. Поэтому, Вы будете получать несколько разных противотуберкулезных препаратов в одно и то же время",,,рифампицин,изониазид,пиразинамид,Анализ крови,Анализ мочи,Анализ макроты,Терапевт
Common Cold,Простуда,"Пейте больше жидкости, промывайте нос раствором солёной воды (0.9%), полоскайте горло. Простуда обычно проходит сама, когда появляются антитела.",,,парацетамол,Арбидол,Виразол,,,,Терапевт
Pneumonia,Пневмония,"Никаких хождений на работу и никаких физических нагрузок. Очень важно освободить иммунную систему от всех нагрузок, чтобы она занималась только одной самой важной работой — уничтожением инфекции.",,,Амбробене,АЦЦ,Бромгексин,,,Анализ макроты,Терапевт
Dimorphic hemmorhoids(piles),Диморфный геморрой (сваи),"Одним из популярных классов препаратов, применяемых при консервативном лечении геморроя, являются гели, кремы и мази. В аптеках на сегодняшний день можно приобрести множество мазей, гелей и кремов, обладающих различными терапевтическими механизмами. Данный класс препаратов обладает местным действием, а это значит, что активные вещества при этом доставляются прямо в зону воспаления, благодаря чему достигается их максимальный эффект.",,,Ауробин,Проктозан,Постеризан,,,,Проктолог
Heart attack,Инфаркт,"Немедленно должен вызвать неотложную помощь! Чем скорее будет оказана помощь при инфаркте, тем больше вероятность того, что исход заболевания не будет летальным, и что инфаркт оставит меньше последствий.",,,Аторис,Кардикет,ТромбоАСС,Анализ крови,Анализ мочи,ЭКГ,Кардиолог
Varicose veins,Варикозное расширение вен,"Компрессионная терапия. Это специальный медицинский трикотаж, обладающий разными степенями компрессии, который продается по рецепту. Его подбирает врач, исходя из того, как сильно изменена венозная стенка и есть ли обратный ток крови. Если начать носить такие колготки, чулки или гольфы своевременно и делать это постоянно (в сочетании с медикаментозной терапией), можно предупредить развитие варикозной болезни.",,,Ангионорм,,,Анализ крови,Анализ мочи,Анализ крови из вены,Терапевт
Hypothyroidism,Гипотиреоз,"Лечение для каждой пациентки подбирается индивидуально по результатам диагностики.Главная цель – восстановление достаточного уровня специфических гормонов, обеспечивающих нормальную работу щитовидки.",,,Тиреоидин,Трийодтиронин,Тиреотом,,ТТГ,УЗИ щитовидной железы,Терапевт
Hyperthyroidism,Гипертиреоз,"Лечение направлено на снижение уровней тиреоидных гормонов в крови — либо за счет подавления их синтеза, либо путем разрушения ткани щитовидной железы.",,,Мерказолила,Пропицила,,,ТТГ,УЗИ щитовидной железы,Терапевт
Hypoglycemia,Гипогликемия,"потребление простых углеводов (напр., 10–12 г глюкозы — таблетки, желе) или содержащей углеводы пищи, жидкости, можно повторить при необходимости; затем больной должен потреблять сложные углеводы для предотвращения рецидива гипогликемии;",,,Глюкобай,Манинил,Сиофор,Анализ крови,ТТГ,УЗИ щитовидной железы,Терапевт
Osteoarthristis,Остеоартрит,В период обострения больному суставу придают нейтральное положение для создания покоя и максимальной разгрузки.,,,Ферматрон,Остенил,Ортовиск,,,,Терапевт
Arthritis,Артрит,"Правильное лечение артрита всегда комплексное, длительное и систематическое. Оно должно быть направлено на устранение причины артрита, снятие болевого синдрома и воспалительного процесса. При этом в зависимости от формы, вида и степени артрита ставится прогноз на излечение, который в некоторых случаях может быть неутешительным. Обратитесь к врачу.",,,,,,,,,Терапевт
(vertigo) Paroymsal Positional Vertigo,(головокружение) Позиционное головокружение,"Как правило, оно включает несколько компонентов: прием лекарственных препаратов, соблюдение режима дня и двигательной активности, диету.",,,Бетасерк,Пипольфен,Дипразин,,,,Терапевт
Acne,Прыщи,"Легкие формы акне можно победить, не прибегая к медикаментам. В аптеках и магазинах продается множество видов кремов и мазей, разработанных для решения этой проблемы.",,,CLEARASIL,PROACTIV,ЗИНЕРИТ,Анализ крови,Анализ мочи,,Дерматолог
Urinary tract infection,Инфекция мочевых путей,"В зависимости от того, насколько выражен воспалительный процесс, назначаются антибиотики. Как правило, это антибиотики пенициллинового ряда. В подростковом возрасте лечение проводится также другой группой антибиотиков – макролидами.",,,Уролесан,Гексикон,Хлоргексидин,Анализ крови,Анализ мочи,Анализ крови из вены,Терапевт
Psoriasis,Псориаз,"неотъемлемый компонент терапии псориаза — лекарства, применяемые наружно. Речь идет о мазях, кремах, аэрозолях, а также болтушках, гелях, пастах и так далее. ",,,Цигнолин,Антралин,Дитрастик,,,,Терапевт
Impetigo,Импетиг,"Лечение проводится в амбулаторных условиях, больных детей необходимо изолировать от группы сверстников. В ходе терапии, выполняется обработка пораженные участков тела специальными дезинфицирующими мазями (Гелиомициновая, Эритромициновая). Не следует наносить мазь под повязку, курс лечения составляет 10 дней и более. При появлении положительного терапевтического эффекта, следует продолжить обработку кожи растворами антисептика для предупреждения развития рецидива.",,,Тетрациклиновая мазь,Линкомициновая мазь,Гентамициновая мазь,,,,Терапевт
